Kab kota,Ibu kota,Luas wilayah (km2),Jumlah penduduk (2022),IPM
Kabupaten Lombok Tengah,Praya,"1095,03",1059324,12
Kabupaten Lombok Timur,Selong,"1230,76",1369918,20
Kabupaten Lombok Utara,Tanjung,"776,25",252942,5
Kabupaten Sumbawa,Sumbawa,"6643,98",509753,24
Kabupaten Sumbawa Barat,Taliwang,"1849,02",148606,8
Kota Bima,,"222,25",155140,5
Kota Mataram,,"61,3",441506,6
Kabupaten Alor,Kalabahi,"2864,6",211872,17
Kabupaten Belu,Atambua,"1284,97",217973,12
Kabupaten Ende,Ende,"2046,5",270763,21
Kabupaten Flores Timur,Larantuka,"1813,2",276896,19
Kabupaten Kupang,Oelamasi,"5434,76",366383,24
Kabupaten Lembata,Lewoleba,1266,135930,9
Kabupaten Malaka,Betun,"1160,63",183898,12
Kabupaten Manggarai,Ruteng,"2096,44",312855,12
Kabupaten Manggarai Barat,Labuan Bajo,"2397,03",256317,12
Kabupaten Manggarai Timur,Borong,"2642,93",275603,9
Kabupaten Nagekeo,Mbay,"1416,96",159732,7
Kabupaten Ngada,Bajawa,"1645,88",165254,12
Kabupaten Rote Ndao,Baa,1280,143764,10
Kabupaten Sabu Raijua,Menia,"460,54",89327,6
Kabupaten Sikka,Maumere,"1731,9",321953,21
Kabupaten Sumba Barat,Kota Waikabubak,"737,42",145097,6
Kabupaten Sumba Barat Daya,Kota Tambolaka,"1480,46",303650,11
Kabupaten Sumba Tengah,Waibakul,"1868,74",85482,5
Kabupaten Sumba Timur,Kota Waingapu,"7000,5",244820,22
Kabupaten Timor Tengah Selatan,Kota Soe,3947,455410,32
Kabupaten Timor Tengah Utara,Kota Kefamenanu,"2669,7",259829,24
Kota Kupang,,"180,27",442758,6
Kabupaten Bengkayang,Bengkayang,"5396,3",291752,17
Kabupaten Kapuas Hulu,Putussibau,"29842,03",268840,23
Kabupaten Kayong Utara,Sukadana,"4568,26",128009,6
Kabupaten Ketapang,Ketapang,31588,591917,20
Kabupaten Kubu Raya,Sungai Raya,8492,620126,9
Kabupaten Landak,Ngabang,8831,406946,13
Kabupaten Melawi,Nanga Pinoh,"10640,8",235025,11
Kabupaten Mempawah,Mempawah,"2797,88",307742,9
Kabupaten Sambas,Sambas,"6394,7",629905,19
Kabupaten Sanggau,Kapuas,"12857,7",492770,15
Kabupaten Sekadau,Sekadau Hilir,"6263,07",214429,7
Kabupaten Sintang,Sintang,21638,421306,14
Kota Pontianak,,"118,32",676096,6
Kota Singkawang,,504,242146,5
Kabupaten Barito Selatan,Buntok,8830,131140,6
Kabupaten Barito Timur,Tamiang Layang,3834,113229,10
Kabupaten Barito Utara,Muara Teweh,8300,154812,9
Kabupaten Gunung Mas,Kuala Kurun,10805,135373,12
Kabupaten Kapuas,Kuala Kapuas,14999,410446,17
Kabupaten Katingan,Kasongan,17500,162222,13
Kabupaten Kotawaringin Barat,Pangkalan Bun,10759,270388,6
Kabupaten Kotawaringin Timur,Sampit,16796,428895,17
Kabupaten Lamandau,Nanga Bulik,6414,97611,8
Kabupaten Murung Raya,Puruk Cahu,23700,111527,10
Kabupaten Pulang Pisau,Pulang Pisau,8997,134499,8
Kabupaten Seruyan,Kuala Pembuang,16404,162906,10
